player,position,pass_yards,pass_tds,pass_ints,rush_yards,rush_tds,recs,rec_yards,rec_tds
Cam Newton,qb,3780,28.5,12.8,621,7,0,0,0
Aaron Rodgers,qb,4189,32.3,10,293,1.8,0,0,0
Russel Wilson,qb,3746,28,10,545,3,0,0,0
Andrew Luck,qb,4327,28.8,17.8,271,2.8,0,0,0
Drew Brees,qb,4769,31,13.5,30,0.5,0,0,0
Tom Brady,qb,4609,32.3,7.5,38,1.3,0,0,0
Eli Manning,qb,4398,31.5,15.8,43,0.5,0,0,0
Carson Palmer,qb,4373,29.5,13.3,41,0.8,0,0,0
Ben Roethlisberger,qb,4494,26.8,15,62,0.8,0,0,0
Blake Bortles,qb,3936,28.3,16.0,286,1.5,0,0,0
Philip Rivers,qb,4434,28.8,13.8,42,0,0,0,0
Jameis Winston,qb,4103,24.3,15,229,3.5,0,0,0
Ryan Fitzpatrick,qb,3603,25,15.3,210,1.8,0,0,0
Matt Stafford,qb,4090,27,14.3,129,1.5,0,0,0
Kirk Cousins,qb,4051,27.5,13.8,70,2,0,0,0
Tyrod Taylor,qb,3247,21.8,11,490,2.5,0,0,0
Derek Carr,qb,3979,28,14.8,114,0.8,0,0,0
Ryan Tannehill,qb,4062,26.3,12.5,182,1,0,0,0
Marcus Mariota,qb,3627,23.5,14.8,358,2.8,0,0,0
Andy Dalton,qb,3794,25.8,13.0,177,2.0,0,0,0
Tony Romo,qb,3884,27.5,15,87,1,0,0,0
Alex Smith,qb,3430,22.5,8.3,342,2,0,0,0
Matt Ryan,qb,4383,23.3,15.5,67,0.3,0,0,0
Joe Flacco,qb,4027,23.5,15.5,55,1.3,0,0,0
Todd Gurley,rb,0,0,0,1333,12,37,314,1.5
David Johnson,rb,0,0,0,1075,10.8,50,492,3.3
Ezekiel Elliot,rb,0,0,0,1239,9.5,42,347,1.8
Adrian Peterson,rb,0,0,0,1300,10.8,29.8,222,0.8
Lamar Miller,rb,0,0,0,1106,8,51.5,409,2
Jamaal Charles,rb,0,0,0,1024,8,44,343,3.5
LeVeon Bell,rb,0,0,0,1106,8.6,46.8,461,1.7
Devontae Freeman,rb,0,0,0,920,8.5,60.5,490,2.3
Mark Ingram,rb,0,0,0,1001,7.5,52.8,419,1.3
Doug Martin,rb,0,0,0,1212,7.3,28.5,230,1
Eddie Lacy,rb,0,0,0,1089,7.8,26.3,233,1.5
LeSean McCoy,rb,0,0,0,1038,6.5,36.5,291,2
CJ Anderson,rb,0,0,0,995,7.3,36,275,1.3
Thomas Rawls,rb,0,0,0,990,8.3,22.8,181,1.3
Latavius Murray,rb,0,0,0,1055,7,35,243,0.5
Matt Forte,rb,0,0,0,896,5.5,45.8,370,1.8
Carlos Hyde,rb,0,0,0,983,6.8,30.8,212,1
Ryan Mathews,rb,0,0,0,863,6.5,29,221,1
Jeremy Hill,rb,0,0,0,891,9.3,16.5,117,0.5
Demarco Murray,rb,0,0,0,838,6,37.3,260,1.3
Duke Johnson,rb,0,0,0,632,3.5,60,527,2.3
Matt Jones,rb,0,0,0,834,5.8,28.3,222,1.5
Jonathan Stewart,rb,0,0,0,952,5.8,17,120,0.8
Frank Gore,rb,0,0,0,801,6,33.8,261,1
Gio Bernard,rb,0,0,0,674,3.5,51.5,469,1.8
Jeremy Langford,rb,0,0,0,747,5.5,32.5,303,1.3
Melvin Gordon,rb,0,0,0,862,4.3,37.3,267,0.8
Ameer Abdullah,rb,0,0,0,786,4.0,31.8,260,1.3
Arian Foster,rb,0,0,0,571,4.5,34.3,292,1.8
Rashad Jennings,rb,0,0,0,747,4.8,23.8,196,0.5
Danny Woodhead,rb,0,0,0,360,2.8,63,537,3.8
DeAngelo Williams,rb,0,0,0,619,6.3,27.3,220,0.8
TJ Yeldon,rb,0,0,0,713,3.5,37,297,1.3
Isaiah Crowell,rb,0,0,0,743,5.8,16.8,143,0.3
LeGarrette Blount,rb,0,0,0,704,7,7.5,56,0
Jay Ajayi,rb,0,0,0,668,5,24.3,201,1
Chris Ivory,rb,0,0,0,657,5.3,21.5,159,0.8
Charles Sims,rb,0,0,0,432,2.3,47.3,400,2.5
Justin Forsett,rb,0,0,0,618,4,30,202,1
Theo Riddick,rb,0,0,0,211,1.5,66.3,579,3
Bilal Powell,rb,0,0,0,466,2.5,40.3,321,1.3
Tevin Coleman,rb,0,0,0,594,3.8,20.5,156,0.5
Derrick Henry,rb,0,0,0,575,4.5,15,130,0.5
Dion Lewis,rb,0,0,0,251,1.5,28,266,1.3
James Starks,rb,0,0,0,439,2.5,30.8,255,1.5
Shane Vereen,rb,0,0,0,244,1,49,413,3
Kenneth Dixon,rb,0,0,0,417,3,32.3,265,0.8
Devontae Booker,rb,0,0,0,483,3.5,20.8,162,0.5
Antonio Brown,wr,0,0,0,0,0,129.5,1733,10.5
Odell Beckham Jr,wr,0,0,0,0,0,106,1519,12.5
Julio Jones,wr,0,0,0,0,0,122.8,1726,8.8
AJ Green,wr,0,0,0,0,0,95,1388,10
DeAndre Hopkins,wr,0,0,0,0,0,104.3,1439,9
Dez Bryant,wr,0,0,0,0,0,88.8,1250,10.3
Allen Robinson,wr,0,0,0,0,0,79.3,1251,9.5
Brandon Marshall,wr,0,0,0,0,0,90.3,1195,9.5
Jordy Nelson,wr,0,0,0,0,0,85,1243,8.5
Alshon Jeffery,wr,0,0,0,0,0,87.8,1243,7.8
TY Hilton,wr,0,0,0,0,0,82.3,1255,7.5
Mike Evans,wr,0,0,0,0,0,81.5,1247,7.3
Amari Cooper,wr,0,0,0,0,0,82.3,1198,7.8
Sammy Watkins,wr,0,0,0,0,0,73.5,1148,8.3
Demaryius Thomas,wr,0,0,0,0,0,89.8,1178,7.8
Keenan Allen,wr,0,0,0,0,0,99.3,1156,7.3
Brandin Cooks,wr,0,0,0,0,0,83.5,1114,7.5
Jeremy Maclin,wr,0,0,0,0,0,84.3,1063,7.8
Randall Cobb,wr,0,0,0,0,0,82.5,994,7.5
Jarvis Landry,wr,0,0,0,0,0,93.5,993,6.3
Erick Decker,wr,0,0,0,0,0,73.8,970,7.8
Michael Floyd,wr,0,0,0,0,0,63.5,1009,7
Doug Baldwin,wr,0,0,0,0,0,72,947,8
Larry Fitzgerald,wr,0,0,0,0,0,87.3,995,7
Golden Tate,wr,0,0,0,0,0,85.5,985,6.5
DeSean Jackson,wr,0,0,0,0,0,59,966,6.3
Donte Moncrief,wr,0,0,0,0,0,75.8,946,7
Kelvin Benjamin,wr,0,0,0,0,0,66,899,7.3
Devonte Parker,wr,0,0,0,0,0,61,927,6.3
Michael Crabtree,wr,0,0,0,0,0,74.8,886,7
Jordan Matthews,wr,0,0,0,0,0,73,917,6.3
Julian Edelman,wr,0,0,0,0,0,80.8,875,6
Allen Hurns,wr,0,0,0,0,0,61,908,6.3
John Brown,wr,0,0,0,0,0,57.8,879,6
Tyler Lockett,wr,0,0,0,0,0,64,862,6.3
Emmanuel Sanders,wr,0,0,0,0,0,67.8,906,5.5
Josh Gordon,wr,0,0,0,0,0,51.3,747,4.8
Marvin Jones,wr,0,0,0,0,0,65,853,5.5
Tavon Austin,wr,0,0,0,343,2,50.5,499,3.8
Kevin White,wr,0,0,0,0,0,62.3,832,5.5
Sterling Shepard,wr,0,0,0,0,0,61.5,808,5.5
Torrey Smith,wr,0,0,0,0,0,52,829,5
Corey Coleman,wr,0,0,0,0,0,57.3,787,5.3
Stefon Diggs,wr,0,0,0,0,0,59.5,804,5
Travis Benjamin,wr,0,0,0,0,0,53.8,791,5
Vincent Jackson,wr,0,0,0,0,0,52.5,807,4.5
Devin Funchess,wr,0,0,0,0,0,50.5,732,5.5
Willie Snead,wr,0,0,0,0,0,59,818,4.3
Laquon Treadwell,wr,0,0,0,0,0,57.8,775,4.5
Michael Thomas,wr,0,0,0,0,0,52.8,719,5
Markus Wheaton,wr,0,0,0,0,0,51.5,719,4.3
Phillip Dorsett,wr,0,0,0,0,0,51.5,694,4.3
Steve Smith,wr,0,0,0,0,0,49,659,4
Terrance Williams,wr,0,0,0,0,0,42.8,657,4.5
Rishad Matthews,wr,0,0,0,0,0,50,673,4.3
Pierre Garcon,wr,0,0,0,0,0,56.8,644,4.3
Kenny Britt,wr,0,0,0,0,0,41,640,3.8
Robert Woods,wr,0,0,0,0,0,49.5,635,4
Mohammed Sanu,wr,0,0,0,0,0,57.8,679,3.5
Kamar Aiken,wr,0,0,0,0,0,53.3,664,3.5
Rob Gronkowski,te,0,0,0,0,0,76.3,1069,10.5
Jordan Reed,te,0,0,0,0,0,79.5,855,7.8
Greg Olsen,te,0,0,0,0,0,72.5,907,6.3
Travis Kelce,te,0,0,0,0,0,73.3,874,6
Coby Fleener,te,0,0,0,0,0,72.5,796,6.8
Delanie Walker,te,0,0,0,0,0,68,815,6
Tyler Eifert,te,0,0,0,0,0,52.3,621,6.5
Gary Barnidge,te,0,0,0,0,0,60,759,5.8
Zach Ertz,te,0,0,0,0,0,67.3,744,4.8
Antonio Gates,te,0,0,0,0,0,56.3,623,6
Julius Thomas,te,0,0,0,0,0,56.3,601,5.8
Jason Witten,te,0,0,0,0,0,64.5,679,4.5
Dwayne Allen,te,0,0,0,0,0,56.3,585,5.3
Eric Ebron,te,0,0,0,0,0,49,552,5.5
Martellus Bennett,te,0,0,0,0,0,53.8,612,5
Zach Miller,te,0,0,0,0,0,48.5,570,4.8
Jimmy Graham,te,0,0,0,0,0,46,506,4.3
Kyle Rudolph,te,0,0,0,0,0,49.8,504,4.5
Charles Clay,te,0,0,0,0,0,50.3,530,4
Will Tye,te,0,0,0,0,0,48.3,530,4.3
Clive Walford,te,0,0,0,0,0,44.8,497,4.3
Ladarius Green,te,0,0,0,0,0,31,372,3
Jordan Cameron,te,0,0,0,0,0,40,451,3.8
Richard Rodgers,te,0,0,0,0,0,38.8,378,4.8
